username,acctdesc,location,following,followers,totaltweets,usercreatedts,tweetcreatedts,retweetcount,text,hashtags
WPalaver,"WePalaver is a platform where people across the boundaries of countries, states, cities, cultures, traditions come and share their blogs. ",,3218,1216,551,2019-10-01 20:42:53,2020-07-06 08:19:09,5,"Kanye West For President
#kanye #kanyewest #kanyeforpresident #Kanye2020 #trending #trendingnow #TrendingNews #kimkardashian #Tesla #elonmusk #elon2020 #writingcommunity #trend #President https://t.co/c9UjwvCKqa","[{'text': 'kanye', 'indices': [39, 45]}, {'text': 'kanyewest', 'indices': [46, 56]}, {'text': 'kanyeforpresident', 'indices': [57, 75]}, {'text': 'Kanye2020', 'indices': [76, 86]}, {'text': 'trending', 'indices': [87, 96]}, {'text': 'trendingnow', 'indices': [97, 109]}, {'text': 'TrendingNews', 'indices': [110, 123]}, {'text': 'kimkardashian', 'indices': [124, 138]}]"
SweIpad,"""To learn who rules over you, simply find out who you are not allowed to criticize""

Tweets in 🇸🇪 & 🇬🇧. Mer djurvän än människovän så kontot sköts av Katten",,657,679,10541,2019-01-06 15:25:28,2020-07-06 08:17:15,0,"@Abrahamsson_sv @FredXFrom @micke_no @ThomasHansson14 @Sallvar @gunilla_roos @Bladsten @Petrus24550953 @natureisourfren Note: #HAARP is a military-industrial endeavor that is said to have used #Tesla technology...
https://t.co/daNHXlcibH","[{'text': 'HAARP', 'indices': [126, 132]}, {'text': 'Tesla', 'indices': [193, 199]}]"
systhub,"100% free #marketing platform to #promote your #startup 🚀 , #project💡or #crowdfunding💥",,4541,5244,10448,2019-07-10 17:42:03,2020-07-06 08:16:01,0,"Tesla launches 'S3XY' short shorts, breaks its #website https://t.co/zOAduknFsc
#Tech #Tesla https://t.co/6Ojj1gVS9H","[{'text': 'website', 'indices': [47, 55]}, {'text': 'Tech', 'indices': [80, 85]}, {'text': 'Tesla', 'indices': [86, 92]}]"
alexjug,Rugby player &  IT guy.,Ljubljana,509,207,1723,2010-06-09 07:03:30,2020-07-06 08:14:12,1,Installing additional capacity to the first energy storage system #tesla #powerpack #ngen #slo #energy #tech #green #new #bigger #teslasystem https://t.co/nmetXndcec,"[{'text': 'tesla', 'indices': [84, 90]}, {'text': 'powerpack', 'indices': [91, 101]}, {'text': 'ngen', 'indices': [102, 107]}, {'text': 'slo', 'indices': [108, 112]}, {'text': 'energy', 'indices': [113, 120]}, {'text': 'tech', 'indices': [121, 126]}, {'text': 'green', 'indices': [127, 133]}, {'text': 'new', 'indices': [134, 138]}]"
EVision_EVRent,"EVision Electric Vehicle Hire is an award-winning EV hire and chauffeur company with our Head Office in Kent, UK.",Kent - Devon - Durham - Yorkshire,4726,2054,22633,2014-07-02 09:09:56,2020-07-06 08:12:40,7,#Loveisland star &amp; @BallsyWomen presenter @tynelexyclarson test-drives the #fullyelectric BMW i3 provided by #BallsyWomen sponsor @EVision_EVRent The #Tesla &amp; #Jaguar EV's also feature! @OpaqueMgt @CARmagazine @OldaDigital https://t.co/MAGJT6XXDS,"[{'text': 'Loveisland', 'indices': [17, 28]}, {'text': 'fullyelectric', 'indices': [96, 110]}, {'text': 'BallsyWomen', 'indices': [130, 142]}]"
charissagunter6,TeamILoveGOD! Never Stress Over These Silly Strong Hoes! Lovee My BestFriennddd Jasmine Nicole Gardner! 3 AMBITION! Follow Me I'll Follow You :)),,0,0,18,2020-07-06 07:45:17,2020-07-06 08:12:31,44386,"To celebrate #BTT &amp; #USDT-#TRON success, I am planning a $20m free cash airdrop. Good news-it's coming, bad news-I may decide to give away more! First, I will randomly pick 1 winner for a #Tesla up until 3/27! To apply, follow me and RT this tweet! Simple! #Blockchain https://t.co/wFyzwtB3ur","[{'text': 'BTT', 'indices': [32, 36]}, {'text': 'USDT', 'indices': [43, 48]}, {'text': 'TRON', 'indices': [49, 54]}]"
DeepeshSagar3,,,57,16,15,2019-10-01 08:14:14,2020-07-06 08:09:47,3,"The man with such inspiring words was so introspective as a kid, that doctors advised his parents to get tests done to check if he was deaf.
Guessing if they were actually doctors!

#elonmusk #sscbs #kronos #tesla #spacex #musk #teslamotors #model #space #teslamodel https://t.co/Zgo94enWZ5",[]
MBoyleAZ,Dual citizen voting in both Polish and US elections. Sitting out Covid in wrong country. Speak/read English/Polish/Russian and there's a huge drop off.,"Mesa, AZ",5005,1432,98947,2010-04-04 23:19:48,2020-07-06 08:06:53,1,"Is @elonmusk the John DeLorean of our generation? 

#johndelorean 
#tesla @Tesla @SpaceX https://t.co/1sxm8YRDVZ","[{'text': 'johndelorean', 'indices': [71, 84]}, {'text': 'tesla', 'indices': [86, 92]}]"
Ladas,"Managing Director @ONmarketing_io Tweets about data-driven growth, marketing, SEO, Social Media, Content Marketing, ecommerce & startups.","London, England",1074,4425,21091,2007-07-26 16:09:52,2020-07-06 08:06:20,0,Tesla is making a push toward fleet vehicles as cost of operation reaches a tipping point for electric vehicles -- led by the Model 3. #tesla #elonmusk https://t.co/2ivrtbeJdI via @electrek,"[{'text': 'tesla', 'indices': [135, 141]}, {'text': 'elonmusk', 'indices': [142, 151]}]"
Cu_Prae,Graham & Doddsville,"Utrecht, Nederland",320,111,3724,2015-01-11 14:38:38,2020-07-06 08:04:52,0,I think I know where I should charge my Tesla 😂 #tesla $tsla https://t.co/qfVj7qLvEx,"[{'text': 'tesla', 'indices': [48, 54]}]"
